runid,scenario_urbansim,year,totpop,empres,medianage,age0004,age0519,age2044,age4564,age65p,st_res_vac
RC6_COVID,20: No Project (Plan Bay Area 2050),2010,7167026,3763886,36.446,447576,1321767,2581031,1931701,884951,0.032
RC6_COVID,20: No Project (Plan Bay Area 2050),2015,7655589,4040983,37.233,443196,1336223,2750267,2039839,1086064,0.014
RC6_COVID,20: No Project (Plan Bay Area 2050),2020,7928942,4207710,38.276,423199,1363528,2788584,2081179,1272452,0.027
RC6_COVID,20: No Project (Plan Bay Area 2050),2025,8127829,4204910,40.145,398954,1348144,2775698,2115530,1489503,0.038
RC6_COVID,20: No Project (Plan Bay Area 2050),2030,8361290,4353418,41.554,384491,1314590,2755972,2203303,1702934,0.05
RC6_COVID,20: No Project (Plan Bay Area 2050),2035,8689485,4527910,43.11,391773,1299603,2766213,2357594,1874302,0.05
RC6_COVID,20: No Project (Plan Bay Area 2050),2040,9053322,4716747,43.241,414874,1306350,2859814,2461813,2010471,0.05
RC6_COVID,20: No Project (Plan Bay Area 2050),2045,9354746,4878187,43.23,426378,1332728,2989657,2467314,2138669,0.05
RC6_COVID,20: No Project (Plan Bay Area 2050),2050,9606673,5018419,43.517,426127,1368300,3025384,2478467,2308395,0.05
